Nr_tabeli;Nazwa_tabeli;Zmienna;Parametr;Rok;Jednostki_miary;Dane
3;Zu¿ycie paliw podstawowych w elektrowniach i elektrociep³owniach zawodowych i przemys³owych - dane wstêpne;Zu¿ycie;"Paliwa ciek³e; Energetyka zawodowa, w tym na energiê elektryczn¹";2021;TJ;44,9
3;Zu¿ycie paliw podstawowych w elektrowniach i elektrociep³owniach zawodowych i przemys³owych - dane wstêpne;Zu¿ycie;"Paliwa ciek³e; Energetyka zawodowa, w tym na energiê elektryczn¹";2021/2020;%;10,9
3;Zu¿ycie paliw podstawowych w elektrowniach i elektrociep³owniach zawodowych i przemys³owych - dane wstêpne;Zu¿ycie;"Paliwa ciek³e; Energetyka przemys³owa";2020;TJ;42515,0
3;Zu¿ycie paliw podstawowych w elektrowniach i elektrociep³owniach zawodowych i przemys³owych - dane wstêpne;Zu¿ycie;"Paliwa ciek³e; Energetyka przemys³owa";2021;TJ;44155,8
3;Zu¿ycie paliw podstawowych w elektrowniach i elektrociep³owniach zawodowych i przemys³owych - dane wstêpne;Zu¿ycie;"Paliwa ciek³e; Energetyka przemys³owa";2021/2020;%;103,9
3;Zu¿ycie paliw podstawowych w elektrowniach i elektrociep³owniach zawodowych i przemys³owych - dane wstêpne;Zu¿ycie;"Paliwa ciek³e; Energetyka przemys³owa, w tym na energiê elektryczn¹";2020;TJ;11111,8
3;Zu¿ycie paliw podstawowych w elektrowniach i elektrociep³owniach zawodowych i przemys³owych - dane wstêpne;Zu¿ycie;"Paliwa ciek³e; Energetyka przemys³owa, w tym na energiê elektryczn¹";2021;TJ;11053,9
3;Zu¿ycie paliw podstawowych w elektrowniach i elektrociep³owniach zawodowych i przemys³owych - dane wstêpne;Zu¿ycie;"Paliwa ciek³e; Energetyka przemys³owa, w tym na energiê elektryczn¹";2021/2020;%;99,5
3;Zu¿ycie paliw podstawowych w elektrowniach i elektrociep³owniach zawodowych i przemys³owych - dane wstêpne;Zu¿ycie;"Biogaz; Energetyka zawodowa";2020;TJ;2777,4
3;Zu¿ycie paliw podstawowych w elektrowniach i elektrociep³owniach zawodowych i przemys³owych - dane wstêpne;Zu¿ycie;"Biogaz; Energetyka zawodowa";2021;TJ;2458,3
3;Zu¿ycie paliw podstawowych w elektrowniach i elektrociep³owniach zawodowych i przemys³owych - dane wstêpne;Zu¿ycie;"Biogaz; Energetyka zawodowa";2021/2020;%;88,5
3;Zu¿ycie paliw podstawowych w elektrowniach i elektrociep³owniach zawodowych i przemys³owych - dane wstêpne;Zu¿ycie;"Biogaz; Energetyka zawodowa, w tym na energiê elektryczn¹";2020;TJ;2256,1
3;Zu¿ycie paliw podstawowych w elektrowniach i elektrociep³owniach zawodowych i przemys³owych - dane wstêpne;Zu¿ycie;"Biogaz; Energetyka zawodowa, w tym na energiê elektryczn¹";2021;TJ;1944,8
3;Zu¿ycie paliw podstawowych w elektrowniach i elektrociep³owniach zawodowych i przemys³owych - dane wstêpne;Zu¿ycie;"Biogaz; Energetyka zawodowa, w tym na energiê elektryczn¹";2021/2020;%;86,2
3;Zu¿ycie paliw podstawowych w elektrowniach i elektrociep³owniach zawodowych i przemys³owych - dane wstêpne;Zu¿ycie;"Biogaz; Energetyka przemys³owa";2020;TJ;3182,5
3;Zu¿ycie paliw podstawowych w elektrowniach i elektrociep³owniach zawodowych i przemys³owych - dane wstêpne;Zu¿ycie;"Biogaz; Energetyka przemys³owa";2021;TJ;3087,0
3;Zu¿ycie paliw podstawowych w elektrowniach i elektrociep³owniach zawodowych i przemys³owych - dane wstêpne;Zu¿ycie;"Biogaz; Energetyka przemys³owa";2021/2020;%;97,0
3;Zu¿ycie paliw podstawowych w elektrowniach i elektrociep³owniach zawodowych i przemys³owych - dane wstêpne;Zu¿ycie;"Biogaz; Energetyka przemys³owa, w tym na energiê elektryczn¹";2020;TJ;1599,9
3;Zu¿ycie paliw podstawowych w elektrowniach i elektrociep³owniach zawodowych i przemys³owych - dane wstêpne;Zu¿ycie;"Biogaz; Energetyka przemys³owa, w tym na energiê elektryczn¹";2021;TJ;1594,5
3;Zu¿ycie paliw podstawowych w elektrowniach i elektrociep³owniach zawodowych i przemys³owych - dane wstêpne;Zu¿ycie;"Biogaz; Energetyka przemys³owa, w tym na energiê elektryczn¹";2021/2020;%;99,7
3;Zu¿ycie paliw podstawowych w elektrowniach i elektrociep³owniach zawodowych i przemys³owych - dane wstêpne;Zu¿ycie;"Biomasa; Energetyka zawodowa";2020;TJ;59766,5
3;Zu¿ycie paliw podstawowych w elektrowniach i elektrociep³owniach zawodowych i przemys³owych - dane wstêpne;Zu¿ycie;"Biomasa; Energetyka zawodowa";2021;TJ;56035,7
3;Zu¿ycie paliw podstawowych w elektrowniach i elektrociep³owniach zawodowych i przemys³owych - dane wstêpne;Zu¿ycie;"Biomasa; Energetyka zawodowa";2021/2020;%;93,8
3;Zu¿ycie paliw podstawowych w elektrowniach i elektrociep³owniach zawodowych i przemys³owych - dane wstêpne;Zu¿ycie;"Biomasa; Energetyka zawodowa, w tym na energiê elektryczn¹";2020;TJ;45005,7
3;Zu¿ycie paliw podstawowych w elektrowniach i elektrociep³owniach zawodowych i przemys³owych - dane wstêpne;Zu¿ycie;"Biomasa; Energetyka zawodowa, w tym na energiê elektryczn¹";2021;TJ;40465,4
3;Zu¿ycie paliw podstawowych w elektrowniach i elektrociep³owniach zawodowych i przemys³owych - dane wstêpne;Zu¿ycie;"Biomasa; Energetyka zawodowa, w tym na energiê elektryczn¹";2021/2020;%;89,9
3;Zu¿ycie paliw podstawowych w elektrowniach i elektrociep³owniach zawodowych i przemys³owych - dane wstêpne;Zu¿ycie;"Biomasa; Energetyka przemys³owa";2020;TJ;34916,1
3;Zu¿ycie paliw podstawowych w elektrowniach i elektrociep³owniach zawodowych i przemys³owych - dane wstêpne;Zu¿ycie;"Biomasa; Energetyka przemys³owa";2021;TJ;36009,0
3;Zu¿ycie paliw podstawowych w elektrowniach i elektrociep³owniach zawodowych i przemys³owych - dane wstêpne;Zu¿ycie;"Biomasa; Energetyka przemys³owa";2021/2020;%;103,1
3;Zu¿ycie paliw podstawowych w elektrowniach i elektrociep³owniach zawodowych i przemys³owych - dane wstêpne;Zu¿ycie;"Biomasa; Energetyka przemys³owa, w tym na energiê elektryczn¹";2020;TJ;9987,1
3;Zu¿ycie paliw podstawowych w elektrowniach i elektrociep³owniach zawodowych i przemys³owych - dane wstêpne;Zu¿ycie;"Biomasa; Energetyka przemys³owa, w tym na energiê elektryczn¹";2021;TJ;8965,6
3;Zu¿ycie paliw podstawowych w elektrowniach i elektrociep³owniach zawodowych i przemys³owych - dane wstêpne;Zu¿ycie;"Biomasa; Energetyka przemys³owa, w tym na energiê elektryczn¹";2021/2020;%;89,8
3;Zu¿ycie paliw podstawowych w elektrowniach i elektrociep³owniach zawodowych i przemys³owych - dane wstêpne;Zu¿ycie;"RAZEM; Energetyka zawodowa";2020;TJ;1218111,1
3;Zu¿ycie paliw podstawowych w elektrowniach i elektrociep³owniach zawodowych i przemys³owych - dane wstêpne;Zu¿ycie;"RAZEM; Energetyka zawodowa";2021;TJ;1410116,4
3;Zu¿ycie paliw podstawowych w elektrowniach i elektrociep³owniach zawodowych i przemys³owych - dane wstêpne;Zu¿ycie;"RAZEM; Energetyka zawodowa";2021/2020;%;115,8
3;Zu¿ycie paliw podstawowych w elektrowniach i elektrociep³owniach zawodowych i przemys³owych - dane wstêpne;Zu¿ycie;"RAZEM; Energetyka zawodowa, w tym na energiê elektryczn¹";2020;TJ;1012353,8
3;Zu¿ycie paliw podstawowych w elektrowniach i elektrociep³owniach zawodowych i przemys³owych - dane wstêpne;Zu¿ycie;"RAZEM; Energetyka zawodowa, w tym na energiê elektryczn¹";2021;TJ;1187975,2
3;Zu¿ycie paliw podstawowych w elektrowniach i elektrociep³owniach zawodowych i przemys³owych - dane wstêpne;Zu¿ycie;"RAZEM; Energetyka zawodowa, w tym na energiê elektryczn¹";2021/2020;%;117,3
3;Zu¿ycie paliw podstawowych w elektrowniach i elektrociep³owniach zawodowych i przemys³owych - dane wstêpne;Zu¿ycie;"RAZEM; Energetyka przemys³owa";2020;TJ;246947,8
3;Zu¿ycie paliw podstawowych w elektrowniach i elektrociep³owniach zawodowych i przemys³owych - dane wstêpne;Zu¿ycie;"RAZEM; Energetyka przemys³owa";2021;TJ;238131,6
3;Zu¿ycie paliw podstawowych w elektrowniach i elektrociep³owniach zawodowych i przemys³owych - dane wstêpne;Zu¿ycie;"RAZEM; Energetyka przemys³owa";2021/2020;%;96,4
3;Zu¿ycie paliw podstawowych w elektrowniach i elektrociep³owniach zawodowych i przemys³owych - dane wstêpne;Zu¿ycie;"RAZEM; Energetyka przemys³owa, w tym na energiê elektryczn¹";2020;TJ;97517,0
3;Zu¿ycie paliw podstawowych w elektrowniach i elektrociep³owniach zawodowych i przemys³owych - dane wstêpne;Zu¿ycie;"RAZEM; Energetyka przemys³owa, w tym na energiê elektryczn¹";2021;TJ;85763,7
3;Zu¿ycie paliw podstawowych w elektrowniach i elektrociep³owniach zawodowych i przemys³owych - dane wstêpne;Zu¿ycie;"RAZEM; Energetyka przemys³owa, w tym na energiê elektryczn¹";2021/2020;%;87,9
